sn,compound,ra,rb,xa,xb,za,a,b,c
1,BaCeO3,1.3500,0.8700,0.8900,1.1200,2.0000,6.2350,8.7810,6.2120
2,BaPrO3,1.3500,0.8500,0.8900,1.1300,2.0000,6.2140,8.7220,6.1810
3,BaPuO3,1.3500,0.8600,0.8900,1.3000,2.0000,6.1930,8.7440,6.2190
4,CaCrO3,1.0000,0.5500,1.0000,1.6600,2.0000,5.3160,7.4860,5.2870
5,CaGeO3,1.0000,0.5300,1.0000,2.0100,2.0000,5.2688,7.4452,5.2607
6,CaMnO3,1.0000,0.5300,1.0000,1.5500,2.0000,5.2819,7.4547,5.2658
7,CaRuO3,1.0000,0.6200,1.0000,2.2000,2.0000,5.5190,7.6650,5.3640
8,CaSnO3,1.0000,0.6900,1.0000,1.9600,2.0000,5.6810,7.9060,5.5320
9,CaTiO3,1.0000,0.6100,1.0000,1.5400,2.0000,5.4537,7.6551,5.3827
10,CaVO3,1.0000,0.5800,1.0000,1.6300,2.0000,5.3520,7.5470,5.3260
11,CaZrO3,1.0000,0.7200,1.0000,1.3300,2.0000,5.7616,8.0171,5.5912
12,CdTiO3,0.9500,0.6100,1.6900,1.5400,2.0000,5.4215,7.6176,5.3053
13,CeVO3,1.0100,0.6400,1.1200,1.6300,3.0000,5.5570,7.8080,5.5140
14,CoSeO3,0.5000,0.6500,2.5500,1.8800,4.0000,5.9297,7.5954,5.0293
15,CoTeO3,0.9700,0.6500,2.1000,1.8800,4.0000,6.0169,7.5147,5.3266
16,DyFeO3,0.9100,0.6500,1.2200,1.8300,3.0000,5.5980,7.6230,5.3020
17,DyMnO3,0.9100,0.6500,1.2200,1.5500,3.0000,5.8280,7.3750,5.2750
18,DyNiO3,0.9100,0.5600,1.2200,1.9100,3.0000,5.5056,7.4455,5.2063
19,DyVO3,0.9100,0.6400,1.2200,1.6300,3.0000,5.5980,7.5860,5.2920
20,ErFeO3,0.8900,0.6500,1.2400,1.8300,3.0000,5.5820,7.5910,5.2630
21,ErVO3,0.8900,0.6400,1.2400,1.6300,3.0000,5.5980,7.5865,5.2920
22,EuFeO3,0.9500,0.6500,1.1000,1.8300,3.0000,5.6060,7.6850,5.3720
23,EuMnO3,0.9500,0.6500,1.1000,1.5500,3.0000,5.8420,7.4510,5.3360
24,EuNiO3,0.9500,0.5600,1.1000,1.9100,3.0000,5.4586,7.5371,5.2941
25,GdFeO3,0.9400,0.6500,1.2000,1.8300,3.0000,5.6110,7.6690,5.3490
26,GdNiO3,0.9400,0.5600,1.2000,1.9100,3.0000,5.4854,7.5112,5.2606
27,GdTiO3,0.9400,0.6700,1.2000,1.5400,3.0000,5.6910,7.6640,5.3930
28,GdVO3,0.9400,0.6400,1.2000,1.6300,3.0000,5.6200,7.6430,5.3500
29,HoFeO3,0.8900,0.6500,1.2300,1.8300,3.0000,5.5910,7.6020,5.2780
30,HoMnO3,0.8900,0.6500,1.2300,1.5500,3.0000,5.8310,7.3540,5.2550
31,LaCrO3,1.0300,0.6200,1.1000,1.6600,3.0000,5.4797,7.7588,5.5163
32,LaErO3,1.0300,0.8900,1.1000,1.2400,3.0000,6.0700,8.4500,5.8500
33,LaFeO3,1.0300,0.6500,1.1000,1.8300,3.0000,5.5652,7.8543,5.5570
34,LaMnO3,1.0300,0.6500,1.1000,1.5500,3.0000,5.7478,7.6921,5.5352
35,LaRuO3,1.0300,0.6800,1.1000,2.2000,3.0000,5.6847,7.8897,5.5462
36,LaTiO3,1.0300,0.6700,1.1000,1.5400,3.0000,5.7530,7.8320,5.5460
37,LaTmO3,1.0300,0.8800,1.1000,1.2500,3.0000,6.0520,8.4290,5.8440
38,LaVO3,1.0300,0.6400,1.1000,1.6300,3.0000,5.5430,7.8400,5.5430
39,MgSeO3,0.5000,0.7200,2.5500,1.3100,4.0000,5.9246,7.6663,5.0059
40,MnSeO3,0.5000,0.8300,2.5500,1.5500,4.0000,6.0945,7.8656,5.1460
41,MnTeO3,0.9700,0.8300,2.1000,1.5500,4.0000,6.1440,7.7870,5.4410
42,NaIO3,1.0200,0.9500,0.9300,2.6600,1.0000,6.3953,8.1280,5.7500
43,NdFeO3,0.9800,0.6500,1.1400,1.8300,3.0000,5.5835,7.7602,5.4504
44,NdMnO3,0.9800,0.6500,1.1400,1.5500,3.0000,5.8540,7.5570,5.3800
45,NdTiO3,0.9800,0.6700,1.1400,1.5400,3.0000,5.7070,7.7650,5.4870
46,NdVO3,0.9800,0.6400,1.1400,1.6300,3.0000,5.5790,7.7340,5.4510
47,NiSeO3,0.5000,0.6900,2.5500,1.9100,4.0000,5.8803,7.5235,4.9394
48,NiTeO3,0.9700,0.6900,2.1000,1.9100,4.0000,5.9560,7.4990,5.2130
49,PrFeO3,0.9900,0.6500,1.1300,1.8300,3.0000,5.5910,7.7830,5.4860
50,PrMnO3,0.9900,0.6500,1.1300,1.5500,3.0000,5.7870,7.5750,5.5450
51,PrNiO3,0.9900,0.5600,1.1300,1.9100,3.0000,5.4193,7.6263,5.3801
52,SmAlO3,0.9600,0.5400,1.1700,1.6100,3.0000,5.2910,7.4740,5.2900
53,SmFeO3,0.9600,0.6500,1.1700,1.8300,3.0000,5.5970,7.7110,5.4000
54,SmNiO3,0.9600,0.5600,1.1700,1.9100,3.0000,5.4289,7.5630,5.3268
55,SmTiO3,0.9600,0.6700,1.1700,1.5400,3.0000,5.6650,7.7370,5.4680
56,SrCeO3,1.1800,0.8700,0.9500,1.1200,2.0000,6.1450,8.5750,6.0000
57,SrHfO3,1.1800,0.7100,0.9500,1.3000,2.0000,5.7646,8.1344,5.7516
58,SrOsO3,1.1800,0.6300,0.9500,2.2000,2.0000,5.5800,7.9000,5.5500
59,SrPbO3,1.1800,0.7800,0.9500,1.8000,2.0000,5.9544,8.3293,5.8627
60,SrPrO3,1.1800,0.8500,0.9500,1.1300,2.0000,6.1168,8.5487,5.9857
61,SrRuO3,1.1800,0.6200,0.9500,2.2000,2.0000,5.5410,7.8540,5.5740
62,SrSnO3,1.1800,0.6900,0.9500,1.9600,2.0000,5.6974,8.0519,5.6986
63,SrZrO3,1.1800,0.7200,0.9500,1.3300,2.0000,5.8150,8.1960,5.8150
64,TbAlO3,0.9200,0.5400,1.1000,1.6100,3.0000,5.3058,7.4154,5.2296
65,TbFeO3,0.9200,0.6500,1.1000,1.8300,3.0000,5.5978,7.6406,5.3268
66,TbMnO3,0.9200,0.6500,1.1000,1.5500,3.0000,5.8310,7.4030,5.2970
67,TbVO3,0.9200,0.6400,1.1000,1.6300,3.0000,5.6060,7.6140,5.3250
68,TmFeO3,0.8800,0.6500,1.2500,1.8300,3.0000,5.5760,7.5840,5.2510
69,TmVO3,0.8800,0.6400,1.2500,1.6300,3.0000,5.5730,7.5450,5.2370
70,YbAlO3,0.8600,0.5400,1.1000,1.6100,3.0000,5.3310,7.3146,5.1251
71,YbFeO3,0.8600,0.6500,1.1000,1.8300,3.0000,5.5570,7.5700,5.2330
72,YbVO3,0.8600,0.6400,1.1000,1.6300,3.0000,5.5630,7.5330,5.2230
73,YCrO3,0.9000,0.6200,1.2200,1.6600,3.0000,5.5210,7.5320,5.2410
74,YFeO3,0.9000,0.6500,1.2200,1.8300,3.0000,5.5870,7.5990,5.2790
75,YTiO3,0.9000,0.6700,1.2200,1.5400,3.0000,5.6901,7.6130,5.3381
76,PuCrO3,1.0000,0.6200,1.3000,1.6600,3.0000,5.5100,7.7600,5.4600
77,LuCrO3,0.8600,0.6200,1.0000,1.6600,3.0000,5.4970,7.4750,5.1760
78,YbCrO3,0.8600,0.6200,1.1000,1.6600,3.0000,5.5100,7.4900,5.1950
79,TmCrO3,0.8800,0.6200,1.2500,1.6600,3.0000,5.5080,7.5000,5.2090
80,HoCrO3,0.8900,0.6200,1.2300,1.6600,3.0000,5.5190,7.5380,5.2430
81,TbCrO3,0.9200,0.6200,1.1000,1.6600,3.0000,5.5180,7.5760,5.2910
82,EuCrO3,0.9500,0.6200,1.1000,1.6600,3.0000,5.5150,7.6220,5.3400
83,SmCrO3,0.9600,0.6200,1.1700,1.6600,3.0000,5.5080,7.6430,5.3670
84,PmCrO3,0.9700,0.6200,1.1000,1.6600,3.0000,5.4900,7.6900,5.4000
85,CeCrO3,1.0100,0.6200,1.1200,1.6600,3.0000,5.4750,7.7400,5.4750
86,PrCrO3,0.9900,0.6200,1.1300,1.6600,3.0000,5.4790,7.7180,5.4480
87,NdCrO3,0.9800,0.6200,1.1400,1.6600,3.0000,5.4798,7.6918,5.4221
88,ErCrO3,0.8900,0.6200,1.2400,1.6600,3.0000,5.5160,7.5190,5.2230
